0 1.04303 0.777278
0.001 1.05241 0.688781
0.002 1.05648 0.637061
0.003 1.05993 0.594451
0.004 1.0623 0.562476
0.005 1.06398 0.53675
0.006 1.06501 0.51727
0.007 1.0656 0.50209
0.008 1.06587 0.489918
0.009 1.06592 0.479875
0.01 1.0658 0.471357
0.011 1.06555 0.463947
0.012 1.06519 0.457345
0.013 1.06476 0.451205
0.014 1.06431 0.445623
0.015 1.06384 0.440462
0.016 1.06335 0.435639
0.017 1.06284 0.431089
0.018 1.0623 0.426767
0.019 1.0617 0.422632
0.02 1.06106 0.418649
0.021 1.06037 0.4148
0.022 1.05965 0.411083
0.023 1.05896 0.407513
0.024 1.0583 0.404104
0.025 1.05768 0.400814
0.026 1.05707 0.397652
0.027 1.05641 0.394595
0.028 1.05571 0.391629
0.029 1.05497 0.388749
0.03 1.05422 0.385955
0.031 1.05347 0.383242
0.032 1.05274 0.380599
0.033 1.05202 0.378022
0.034 1.05129 0.37551
0.035 1.05055 0.37307
0.036 1.04981 0.370704
0.037 1.04907 0.36841
0.038 1.04833 0.366183
0.039 1.0476 0.364012
0.04 1.04686 0.361887
0.041 1.04612 0.359803
0.042 1.04536 0.357761
0.043 1.0446 0.355753
0.044 1.04382 0.353781
0.045 1.04303 0.351852
0.046 1.04225 0.349967
0.047 1.04148 0.348125
0.048 1.04071 0.346328
0.049 1.03995 0.344576
0.05 1.03919 0.34286
0.051 1.03843 0.341175
0.052 1.03767 0.339511
0.053 1.03689 0.337868
0.054 1.03611 0.336251
0.055 1.03532 0.334663
0.056 1.03453 0.333108
0.057 1.03374 0.331582
0.058 1.03294 0.330079
0.059 1.03215 0.328595
0.06 1.03137 0.327132
0.061 1.03059 0.325695
0.062 1.02982 0.32429
0.063 1.02904 0.322916
0.064 1.02827 0.321567
0.065 1.02749 0.320233
0.066 1.02671 0.318906
0.067 1.02592 0.317586
0.068 1.02514 0.31628
0.069 1.02435 0.314999
0.07 1.02356 0.313747
0.071 1.02277 0.312526
0.072 1.02198 0.311326
0.073 1.02119 0.310135
0.074 1.0204 0.308943
0.075 1.0196 0.30775
0.076 1.01882 0.306562
0.077 1.01803 0.30539
0.078 1.01725 0.304246
0.079 1.01647 0.303137
0.08 1.01569 0.302057
0.081 1.01491 0.300998
0.082 1.01412 0.299943
0.083 1.01333 0.298883
0.084 1.01254 0.297811
0.085 1.01174 0.296733
0.086 1.01095 0.295659
0.087 1.01017 0.294603
0.088 1.00939 0.293576
0.089 1.0086 0.292582
0.09 1.00782 0.291617
0.091 1.00703 0.290671
0.092 1.00624 0.289731
0.093 1.00545 0.28878
0.094 1.00465 0.287816
0.095 1.00386 0.28684
0.096 1.00308 0.285859
0.097 1.00229 0.284884
0.098 1.00152 0.283927
0.099 1.00074 0.282999
0.1 0.999971 0.282102
